项目,主题,问题类型,优先级,描述
新公司业务管理系统,【需求不明确】可转债发行申请表中部分字段需求不明确,需求变更,普通,"【需求不明确】可转债发行申请表中部分日期字段需求不明确

交付路径：\\196.131.1.78\release\Delivery\BPM\新公司业务管理系统\二期\版本交付v7.4_513_01
对象：20170703可转换公司债券通知单新增及修改需求.docx
问题1：个别无限制要求描述
预期结果：需求中应该明确表述“股权登记日、摇号中签日期、申购资金验资日”字段的限制要求
实际结果：可转债发行申请表中的“股权登记日、摇号中签日期、申购资金验资日”字段没有明确说明这些字段与发行日期字段之间的关系，测试无法验证字段限制的正确性
问题2：需求中没有“申购资金验资日”字段，与集成沟通明确为开发保留上一版本，所以实际存在该字段
预期结果：没有“申购资金验资日”字段
实际结果：存在“申购资金验资日”字段
问题3：发行方式的默认值系统实现与需求不一致
预期结果：需求中发行方式的默认值为“定价发行”
实际结果：系统实现发行方式的默认值为“上网定价”，与集成沟通后，以系统实现为准
"
新公司业务管理系统,【监管复核学徒】学徒输入意见后，信息披露详情页面的显示需优化,优化,低,"前提条件;1.为上市公司对应的监管复核指定相应监管复核学徒角色；
         2.该上市公司已提交信息披露申请；
重现步骤：
1.监管复核学徒登录系统；
2.首页>信息披露>信息披露审核 
3.选中该条申请记录，点击【查看】
4.点击“公告正文”的“标题”下的标题链接
5.点击【意见输入】
6.输入一长串字符后，点击【保存】
7.检查页面的“审核意见”部分的显示

期望结果：意见输入后页面显示正常
实际结果;页面显示需优化
"
新公司业务管理系统,【信访投诉】投诉来源为书面信件时，初审中审核页面显示不正确,缺陷,普通,"【信访投诉】投诉来源为书面信件时，初审中审核页面显示不正确
前提条件：
新建信访投诉，投诉来源：书面信件
操作步骤：
1、登录信访投诉小组，新建信访投诉
2、首页->监管工作->其他->信访投诉
3、新建信访投诉，填写内容，其中投诉来源：书面信件，公司代码：600185
4、点击提交至初审/直管复核
5、登录初审/直管复核，首页>监管工作>其他>信访投诉 进行审核
预期结果：
初审中审核页面，不显示“拟回复意见”输入框
实际结果：
初审中审核页面，显示“拟回复意见”输入框"
新公司业务管理系统,【增值税开票】增值税开票信息登记页面，对电话字段格式的限制有误，可以输入非数字的其他字符,优化,普通,"操作步骤：
1.上市公司登陆系统
2.首页>资料填报>增值税开票信息登记 
3.点击：【新增登记】按钮，电话字段填写：上海市中山东一路12号201室
4.其它字段填写正确，点击提交
期望结果：提交不成功给出相应的提示
实际结果：提交成功
ps:电话字段输入纯空格也可以提交成功"
大数据平台开发项目,【短信邮件告警v1.2专题测试】相隔58分钟产生同样的告警，告警发送,,立刻,"描述

测试日期：20170802
测试版本：1.2
测试步骤：
1.在大数据平台重启实例；
2.查看短信告邮件告警
3.相隔59分产生同样告警
预期结果：
一小时内同样告警不发送
实际结果：
相隔58分钟产生同样的告警发送告警"
新公司业务管理系统,【增值税开票】先选择增值税普通发票，再选择增值税专用发票，地址的值显示为空,缺陷,普通,"操作步骤：
1.上市公司登陆系统
2.首页>资料填报>增值税开票信息登记 
3.点击：【新增登记】按钮
4.增值税发票类型选择增值税普通发票，然后再选择增值税专用发票
5.检查页面字段的默认值
期望结果：地址的默认值显示正确
实际结果：地址的值显示为空"
债券监管信息系统,用户登录系统，点击功能模块，系统功能实现失效,缺陷,普通,"操作步骤：
 1.使用sse0001/111111,登录系统，点击功能模块
 
实际结果：使用该用户登录系统，首次点击功能模块，页面刷新，页面无变化（首页）；再次点击才能进入对应模块页面；
预期结果：登录页面点击功能模块，进入对应页面；

补充说明：只有sse0001出现该问题；有时登录时（过段时间重新登录），需要二次登录，才能登录系统"
大数据平台开发项目,【短信邮件告警1.2专题】短信超过100条时继续发短信告警,,立刻,"测试日期：20170801
测试版本：1.1
测试步骤：
1.在大数据平台重启实例；
2.查看短信告邮件告警
3.使告警数超过100条
预期结果：
超过100条的告警只发送邮件不发送短信
实际结果：
超过100条的告警继续发送短信
"
新公司业务管理系统,【信访投诉】通过查询项查询数据部分数据未显示,缺陷,高,"【信访投诉】通过查询项查询数据部分数据未显示
1.登陆信访小组
2.点击“清空”查看数据
3.点击选择“投诉类型-全部”，数据缺失
"
新公司业务管理系统,【可转债发行失败申请单】发行日期没有默认值时，可转债代码摘牌日有数据,缺陷,普通,"操作步骤：
1.登陆上市公司：601139，点击信息披露页面的新建申请单
2.添加公告，公告类型选择可转债中止发行，默认绑定“可转债发行失败通知单”
3.点击申请表的填写
4.查看“可转债发行失败申请表”中字段的默认值是否正确
期望结果：所有字段的默认值显示正确
实际结果：可转债代码摘牌日有数据"
新公司业务管理系统,【信访投诉】初审/监管复合信访流程状态筛选条件有误,缺陷,普通,"【信访投诉】初审/监管复合信访流程状态筛选条件有误
1.登陆初审/监管复合
2.点击进入首页>监管工作>其他>信访投诉
3.检查筛选项：流程状态
预期结果：没有“审核中”
实际结果：有“审核中”"
新公司业务管理系统,【权限设置】删除人员角色时报js错误,缺陷,普通,"操作步骤：
1.使用monitor登录，在用户权限管理->权限设置页面
2.任选一个人员，在角色列表页，选中该人员的任意一个角色
3.点击删除，对于弹出的提示框点击确定，删除成功
期望结果：页面正常
实际结果：页面报js错误
"
大数据平台开发项目,【短信邮件告警1.2专题】每日记录当日发送条数不正确和告警压制文件删除不正确,,立刻,"测试日期：20170801
测试版本：1.2
测试步骤：
1.在大数据平台重启实例；
2.查看短信告邮件告警
预期结果：
每日记录的发送条数正确，告警压制文件保留两个小时内的
实际结果：
每日记录的发送条数日期显示不正确，告警压制文件没有要需求实现"
大数据平台开发项目,【大数据平台应用】先/后进先出-子应用1和4证券代码为ALL时不区分大小写也可大小写组合，TD后台可以正常查询数据，大数据平台不报错，但是查询无数据显示,缺陷,普通,"【测试数据】：
 证券代码	  开始日期	  结束日期
 字母任意组合	       20051116	      20091123

【结果】：ＴＤ可以正常查询数据，大数据平台查询数据为空"
大数据平台开发项目,【大数据平台应用】先/后进先出-子应用4 分页不是按照限制2000行显示的,缺陷,普通,"【测试数据】
证券代码   开始日期	结束日期
ALL	   19901231	20091129
【结果】：页面显示2515条数据  根据需求按照500/页 应该显示4页    按照1000/页 应该显示2页
【实际】：按照500/页 应该显示6页    按照1000/页 应该显示3页"
债券监管信息系统,Test WI,缺陷,低,Test WI
债券监管信息系统,【系统管理-用户管理】缺少“角色分配”功能,缺陷,高,"操作步骤：
1.使用管理员“admin”登录系统。
2.点击系统管理-用户管理，选中用户，进行角色分配。
3.无角色分配功能。"
大数据平台开发项目,【大数据平台应用】账户证券交易情况查询，导出的dbf格式文件标题与TD不一致,优化,普通,"TD：导出的dbf格式文件列标题为中文，宽度合理
大数据平台：导出的dbf格式文件列标题为英文，与TD不一致，每列宽度太大，不方便查看
"
大数据平台开发项目,[债券监管二期]大数据平台应用_部署手册（债券监管）与实际配置步骤差别太大,,普通,大数据平台应用_部署手册（债券监管）与实际配置步骤差别太大，完全没有办法配置，请更新
大数据平台开发项目,【大数据平台应用】可疑对象分析-tab3组内账户每日交易持股分析和tab4组内账户每日对倒明细，导出全部结果为dbf文件，期望文件表头用中文表示和TD保持一致,缺陷,普通,"【测试数据】：
日期：20091116  20091122
证券代码：600038
股东账户：A006970836 A059192727 A000025014
【结果】：导出dbf文件表头用的是数据库的字段名称
【期望】：和TD保持一致，用中文表示"
交易参与人系统,【需求变更】需求与实际不符,需求变更,低,【需求变更】需求与实际不符
大数据平台开发项目,【大数据平台应用】账户证券交易情况查询，在缺省情况下点击维度运算结果显示为0，与TD不一致,缺陷,高,"在相同的条件下进行查询，TD和大数据都显示127行
在维度和度量缺省情况下，点击维度运算，TD显示为127行，大数据平台显示为0行，与TD不一致"
交易参与人系统,【流程管控】全真标的新增失败,缺陷,高,"重现步骤：
1.运行管理组人员登录系统
2.首页>全真标的>全真标的维护
3.点击：【新增】按钮
4.输入：标的名称：浦发银行
        标的代码：600000
        提交人：运行组
5.点击：【确定】
期望结果：标的新增成功
实际结果：系统提示添加失败
备注：数据库中缺少“o_base_cz”表，因因全真标的的功能未交付到验收测试；"
大数据平台开发项目,【大数据平台应用】先/后进先出-子应用2 按照后进先出查看：表头6个字段名称以及导出表头名称和TD不一致,缺陷,低,【期望】：见附件截图和比对结果
新债券业务管理系统,"【通用】附件上传，文件上传类型显示为"".NULL”",缺陷,紧急,"重现步骤：
1.使用任意承销商登录系统；
2.首页，点击【业务申请】-【网上发行】；
3.列表页，点击【网上发行申请】；
4.申请页，选择任意需要上传附件的字段，点击“上传文件”；
5.查看上传文件窗口

期望结果：上传文件类型正确
实际结果；上传文件类型显示为"".null""

备注：绝大多数流程都有该问题：网上发行、网下发行、公司债发行结果公告、发行票面利率公告、债券上市、恢复上市申请表以及信息披露申请各种流程"
债券监管信息系统,【交付问题】需求文档内容缺少,需求变更,低,"1.交付的版本页面多出的模块，需求文档无此模块需求内容。
2.其他模块需求也未更新。"
