项目,主题,问题类型,优先级,描述
新基金业务管理系统_内部,【FMSv1.2上证（分级）LOF基金更名】所内基金业务部查看上证（分级）LOF基金更名的申请信息列表，列表项缺少业务申请人字段（与需求不一致）,需求变更,低,"复现步骤：
1.基金业务部审核岗登录系统
2.点击业务操作>上证（分级）LOF基金>更名
3.进入LOF更名申请信息列表核对列表项字段

实际现象：列表字段包括基金公司，证券代码，证券简称，变更生效日，申请日期，业务状态，在办人，操作；与需规3.36.6.2.产品创新中心上证LOF更名信息列表不一致，缺少业务申请人字段
期望现象：验证了其他流程都没有业务申请人字段，更改需规"
新基金业务管理系统_内部,V1.2【上证基金通>发售变更】发送通知单时，左下角页面报错，提示网页错误,优化,低,"重现步骤：
前置条件：ccc的代办人为zzz
1.业务初审者登录
2.上证基金通>发售变更交易
3.主办提交LOF基金份额放开交易（ccc），提交成功，复审审核不通过（xxx），退回主办
4.代办修改后再次提交（zzz），点击生成通知单，
5.发送通知单时，页面左下角报错


预期结果：页面显示正确

实际结果：页面提示，已完毕，但网页错误"
新公司业务管理系统_内部,【监察部接口】接收异调内幕知情人应答接口中，导入临时表时，缺少参数,缺陷,紧急,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.在ftp上上传昨日发送异调内幕知情人接口的应答文件
2.执行接收异调内幕知情人应答接口
【发现问题】
1.接口执行失败，导入临时表时报错提示：Parameter index out of range (15 > number of parameters, which is 14).
【分析】
覃锦辉待确认"
新公司业务管理系统_内部,【监察部接口】接收异调发函应答接口中，查询出来的昨日发送函件数量和实际数量不一致,缺陷,高,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.修改数据库cbmr_monitor_letter的return_time字段，使时间为数据库时间前一天，修改的info_id为2983860280771858和2984618775684226
2.执行接收异调发函应答接口
【发现问题】
1.接口中，查询出来的昨日发送函件数量为1，实际数量为2，不一致
【分析】
覃锦辉待确认"
新公司业务管理系统_内部,【减持预披露】根据“卸任”状态查询出来的数据和实际应展示的卸任数据不符,缺陷,普通,"
【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上市公司600884进入减持预披露页面
2.在状态查询条件处，选择“卸任”进行查询
【发现问题】
1.默认条件时，卸任董监高为6条数据，根据“卸任”状态查询后，共有18条董监高数据
【分析】
彭允标待确认
"
新公司业务管理系统_内部,【减持预披露】根据“类别”排序或查询后，列表中董监高的类别值及状态值发生变化,缺陷,低,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上市公司600884进入减持预披露页面
2.上市公司根据“类别”字段排序
3.上市公司重新进入减持预披露页面后，在类别字段搜索选择“董事”查询
【发现问题】
1.原本董监高“庄巍”的类别为“监事,高级管理人员”，状态为在任
2.根据“类别”字段排序，“庄巍”的类别变为“董事,高级管理人员”，状态变为卸任
3.在类别字段搜索选择“董事”查询，“庄巍”的类别变为“董事,高级管理人员”，状态变为卸任
【分析】
彭允标待确认"
新公司业务管理系统_内部,【债券信息库】手动发起公司债，初审审核不通过，上市公司修改后，初审再次不通过，初审终止流程，初审点查看流程跟踪，且上市公司端的待办消息还未消失,缺陷,普通,"手动发起公司债，上市公司填写，初审审核不通过，上市公司修改后，初审再次不通过，初审终止流程，

1.初审点查看流程跟踪不正确
2.上市公司端的待办消息在初审终止后未消失

参考截图"
新公司业务管理系统_内部,【V7.4债券数据库】优先股初审确认页面底部字段优化,优化,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.初审登录到首页
2.点击其他待办栏中的业务提醒
3.查看页面字段
【发现问题】
点击通过按钮时发现按钮时提交按钮需要优化
【分析】
孙露待分析"
新公司业务管理系统_内部,【V7.4债券数据库】上市公司辅助功能已办事项入口细化,优化,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上市公司（603988）登录到首页>已办事项 
2.查看列表债券信息
3.点击查看
【发现问题】
网页报错
【分析】
孙露待分析"
新公司业务管理系统_内部,【V7.4债券数据库】优先股信息列表页面多出页面表头,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上市公司（603988）登录到首页>资料填报>上市公司信息维护
2.点击其他证券品种>优先股
3.查看优先股信息列表
【发现问题】
优先股信息列表页面多出页面表头并且可操作
【分析】
孙露待分析"
新基金业务管理系统_内部,【FMSv1.2】操作权限用户登录系统-首页>业务操作>ETF基金>合并，查询某个基金公司，点击下一页，报错,缺陷,高,"测试步骤：操作权限用户登录系统-首页>业务操作>ETF基金>合并，筛选条件：输入基金公司名称，点击查询，再点击下一页，报错
预期结果：正确切换到第二页（前提是该基金公司有两行数据）
实际结果：报错：失败object"
新基金业务管理系统_内部,【FMSv1.2】操作权限用户-首页>业务操作>ETF基金>合并，筛选基金类型错误,缺陷,高,"测试步骤：操作权限用户-首页>业务操作>ETF基金>合并，筛选基金类型条件选择“单市场股票ETF”，点击：查询

预期结果：查询到的所有信息的基金类型都是“单市场股票ETF”

实际结果：查询到的很多信息的基金类型并不是“单市场股票ETF”
"
行情监测平台,【业务通知单系统】【前台】任务单中存在附件未加载成功时，全部下载失败时，建议有个提示,"",普通,"1、新建任务，批量上传文件，其中存在文件异常，加载失败的文件
2、审核，回签后，全部下载
异常结果：全部下载时，未提示错误异常信息
预期结果：失败时，建议给出提示信息"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务已忽略列表操作列缺少忽略按钮,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务角色登录到首页>监管工作>其他>公司债信息管理
2.点击待确认列表TAB
3.查看列表数据以及字段
【发现问题】
已忽略列表操作列缺少忽略按钮
【分析】
孙露待分析"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务已忽略列表数据有误,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务角色登录到首页>监管工作>其他>公司债信息管理 
2.点击已忽略TAB
3.查看列表数据
【发现问题】
已忽略列表显示的数据有错误，数据库中完全没有已忽略的数据，页面竟然显示有数据
【分析】
赵先瑞待分析"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务全部公司债列表接口过来的数据不显示,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务角色登录到首页>监管工作>其他>公司债信息管理 
2.点击全部公司债列表TAB
3.查看列表数据
【发现问题】
全部公司债列表不显示接口过来的数据，查询数据库中有已办结、已确认的数据
【分析】
孙露待分析"
新基金业务管理系统_内部,【FMSv1.2】优化单，详情见描述及附件,优化,低,"1.
测试步骤：操作权限角色登录系统-业务操作-ETF基金-上市，检查列表筛选条件字段
预期结果：ETF上市日期
实际结果：ETF上市日

"
新公司业务管理系统_内部,【债券信息库】公司债事务角色--全部公司债列表，公司检索：里边没有选项,缺陷,普通,"公司债事务角色--全部公司债列表，公司检索：里边没有选项


参考截图"
新公司业务管理系统_内部,【V7.4债券数据库】公司债系统触发带入数据有误,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债系统触发流程>上市公司点击其他待办事项业务提醒
2.查看接口带入数据收发正确
【发现问题】
债券面值带入数值为1.56 接口文档里没有债券面值这个字段
【分析】
赵先瑞待分析"
新公司业务管理系统_内部,【债券信息库】手动发起公司债-初审审核不通过，上市公司直接再次提交，利率调整信息错误插入数据,缺陷,普通,"手动发起公司债-初审审核不通过，上市公司直接再次提交，利率调整信息错误插入数据
参考截图"
新基金业务管理系统_内部,V1.2【ETF基金>拆分】主办人代办人ETF基金拆分通知单显示错误,缺陷,普通,"重现步骤：
前置条件：ccc的代办人为zzz
1.业务初审者登录
2.首页>ETF基金>拆分
3.主办提交ETF基金>拆分（ccc），提交成功，复审审核不通过（xxx），退回主办
4.代办修改后再次提交（zzz），点击生成通知单
5.查看通知单，显示不是代办人通知单


预期结果：主办人ETF基金拆分通知单显示错误，主办人基金拆分通知单和基金连续停牌通知单显示一致，主办人应该显示代办人签名图片

实际结果：主办人基金拆分通知单和基金连续停牌通知单显示不一致"
